x,y
-97.930183,52.314513
-97.911644,52.358566
-97.936363,52.374498
-97.934303,52.391682
-97.955589,52.415979
-97.937049,52.444867
-97.956962,52.480846
-97.952156,52.510945
-97.975502,52.550627
-98.027687,52.513452
-98.02082,52.482518
-98.03318,52.464952
-98.069572,52.448215
-98.03318,52.379109
-98.005027,52.335076
-97.986488,52.296039
-97.943229,52.303597
