Long,Lat,Depth
-96.850403,51.007663,0
-96.864823,51.009391,0
-96.885422,51.009823,0
-96.927307,50.992971,0
-96.93074,50.986488,0
-96.93074,50.979571,0
-96.931427,50.97006,0
-96.937607,50.962708,0
-96.95134,50.950165,0
-96.95134,50.940215,0
-96.95752,50.930695,0
-96.971253,50.92377,0
-96.979492,50.912082,0
-96.990479,50.900391,0
-96.994599,50.885232,0
-96.986359,50.867901,0
-96.966446,50.853599,0
-96.952027,50.844495,0
-96.94516,50.831486,0
-96.945847,50.817172,0
-96.963013,50.808061,0
-96.973313,50.794541,0
-96.980179,50.780649,0
-96.976746,50.763714,0
-96.981552,50.749814,0
-96.984299,50.73026,0
-96.984299,50.718958,0
-96.986359,50.704175,0
-96.993912,50.688048,0
-96.995285,50.676301,0
-96.982239,50.660199,0
-96.973999,50.645874,0
-96.982239,50.630632,0
-96.984299,50.617999,0
-96.962326,50.606235,0
-96.941727,50.597519,0
-96.950653,50.589673,0
-96.968506,50.584441,0
-96.981552,50.573976,0
-96.985672,50.559147,0
-96.980866,50.54475,0
-96.982926,50.537332,0
-96.973313,50.52773,0
-96.965759,50.510703,0
-96.967133,50.499785,0
-96.954773,50.49236,0
-96.94928,50.487554,0
-96.94928,50.47969,0
-96.94722,50.473572,0
-96.951839,50.471188,0
-96.951152,50.465288,0
-96.950294,50.461026,0
-96.949436,50.454251,0
-96.950981,50.447036,0
-96.954929,50.443757,0
-96.950809,50.435448,0
-96.944872,50.427341,0
-96.942125,50.423732,0
-96.927877,50.419685,0
-96.912943,50.415857,0
-96.911226,50.411153,0
-96.923586,50.408527,0
-96.928392,50.403604,0
-96.923242,50.395726,0
-96.918638,50.386742,0
-96.909712,50.378423,0
-96.901815,50.374044,0
-96.904905,50.367037,0
-96.914518,50.358714,0
-96.911428,50.344037,0
-96.909712,50.34075,0
-96.918295,50.338121,0
-96.910398,50.322999,0
-96.901472,50.312695,0
-96.898726,50.303267,0
-96.885679,50.297784,0
-96.866453,50.290108,0
-96.832464,50.294275,0
-96.803282,50.291643,0
-96.787146,50.290327,0
-96.780622,50.2991,0
-96.774786,50.303047,0
-96.778219,50.309187,0
-96.776159,50.315545,0
-96.778219,50.326067,0
-96.775816,50.330451,0
-96.770666,50.335491,0
-96.757963,50.337902,0
-96.752127,50.337025,0
-96.740454,50.337902,0
-96.732901,50.344037,0
-96.731871,50.349952,0
-96.718824,50.357838,0
-96.716078,50.367913,0
-96.720198,50.376672,0
-96.719168,50.388493,0
-96.701315,50.388275,0
-96.681243,50.392355,0
-96.662017,50.395638,0
-96.645538,50.399359,0
-96.634208,50.405486,0
-96.632835,50.411175,0
-96.624938,50.415988,0
-96.626998,50.422113,0
-96.601249,50.428019,0
-96.582366,50.439609,0
-96.573097,50.45229,0
-96.574813,50.464093,0
-96.582023,50.472178,0
-96.585444,50.48524,0
-96.601237,50.497472,0
-96.606387,50.514067,0
-96.606043,50.520616,0
-96.617373,50.521707,0
-96.614627,50.532402,0
-96.627673,50.539603,0
-96.629807,50.547986,0
-96.638391,50.553004,0
-96.634271,50.561292,0
-96.614358,50.562601,0
-96.598565,50.570887,0
-96.590669,50.575684,0
-96.587235,50.579609,0
-96.578996,50.585712,0
-96.586949,50.597175,0
-96.592442,50.610903,0
-96.594845,50.622884,0
-96.593815,50.632031,0
-96.595875,50.640306,0
-96.603772,50.654239,0
-96.604115,50.661639,0
-96.593815,50.666209,0
-96.585919,50.672736,0
-96.577336,50.676,0
-96.56738,50.670778,0
-96.55399,50.676218,0
-96.54369,50.684484,0
-96.54678,50.69188,0
-96.554677,50.697317,0
-96.5612,50.696229,0
-96.567723,50.70558,0
-96.556258,50.714353,0
-96.543212,50.721743,0
-96.539092,50.729133,0
-96.533256,50.723917,0
-96.515403,50.720874,0
-96.520896,50.706526,0
-96.525703,50.698263,0
-96.521926,50.686084,0
-96.49652,50.679993,0
-96.481414,50.673466,0
-96.475921,50.662151,0
-96.469741,50.652356,0
-96.435431,50.638,0
-96.411055,50.632338,0
-96.387709,50.628636,0
-96.36814,50.620577,0
-96.346854,50.622537,0
-96.331748,50.628418,0
-96.320762,50.626676,0
-96.310462,50.625587,0
-96.304282,50.632991,0
-96.310119,50.636258,0
-96.321792,50.636258,0
-96.327285,50.643007,0
-96.337241,50.654763,0
-96.35475,50.659116,0
-96.348914,50.66695,0
-96.352347,50.677612,0
-96.363677,50.683703,0
-96.367453,50.697188,0
-96.388332,50.710111,0
-96.372195,50.724893,0
-96.378719,50.730326,0
-96.358806,50.745753,0
-96.345882,50.767769,0
-96.350688,50.77298,0
-96.362705,50.785137,0
-96.351375,50.800546,0
-96.356182,50.818335,0
-96.354808,50.828962,0
-96.346912,50.83937,0
-96.357236,50.852104,0
-96.371655,50.86099,0
-96.371312,50.87594,0
-96.370282,50.891969,0
-96.378865,50.907559,0
-96.37283,50.9246,0
-96.38004,50.947967,0
