Lon,Lat,Depth
-97.239169,48.966495,0
-97.239438,48.966474,0
-97.239658,48.966452,0
-97.240028,48.966474,0
-97.240376,48.966516,0
-97.2408,48.966593,0
-97.241154,48.966628,0
-97.241589,48.966639,0
-97.242061,48.966593,0
-97.242297,48.966512,0
-97.242565,48.966431,0
-97.24279,48.966322,0
-97.243,48.966178,0
-97.24315,48.966002,0
-97.243252,48.965773,0
-97.243305,48.96547,0
-97.243316,48.965185,0
-97.243295,48.964973,0
-97.243284,48.96478,0
-97.243391,48.964649,0
-97.243686,48.964494,0
-97.243992,48.964357,0
-97.24433,48.964202,0
-97.244604,48.964061,0
-97.244899,48.963903,0
-97.245124,48.963811,0
-97.245322,48.963653,0
-97.245505,48.963434,0
-97.245634,48.963156,0
-97.245795,48.962881,0
-97.245934,48.962695,0
-97.246063,48.96248,0
-97.246218,48.962304,0
-97.246352,48.962103,0
-97.246428,48.961927,0
-97.246444,48.961722,0
-97.246513,48.961536,0
-97.246637,48.961374,0
-97.246749,48.961184,0
-97.246851,48.961015,0
-97.247103,48.960786,0
-97.247291,48.960652,0
-97.247549,48.960444,0
-97.24779,48.960257,0
-97.24793,48.960053,0
-97.248133,48.959782,0
-97.248348,48.959553,0
-97.248461,48.959341,0
-97.248552,48.959088,0
-97.248648,48.958852,0
-97.248632,48.958619,0
-97.248461,48.958443,0
-97.248091,48.958355,0
-97.24771,48.958313,0
-97.247221,48.958228,0
-97.246744,48.958151,0
-97.246299,48.958077,0
-97.245875,48.957975,0
-97.245601,48.957859,0
-97.24551,48.95764,0
-97.24558,48.957432,0
-97.245677,48.957129,0
-97.245816,48.956946,0
-97.245966,48.956703,0
-97.246154,48.956446,0
-97.246315,48.956108,0
-97.246454,48.955925,0
-97.246615,48.955689,0
-97.246712,48.955481,0
-97.2469,48.95521,0
-97.246991,48.954995,0
-97.247136,48.954829,0
-97.247372,48.954713,0
-97.247704,48.954695,0
-97.248026,48.95478,0
-97.248251,48.95496,0
-97.248461,48.955206,0
-97.248632,48.955488,0
-97.248777,48.955766,0
-97.248847,48.956013,0
-97.249024,48.95621,0
-97.249319,48.956323,0
-97.249711,48.956379,0
-97.250091,48.956355,0
-97.250397,48.956291,0
-97.250655,48.956168,0
-97.250987,48.956052,0
-97.251363,48.95589,0
-97.251803,48.955699,0
-97.252275,48.955516,0
-97.25257,48.955379,0
-97.252843,48.955206,0
-97.252994,48.955069,0
-97.253181,48.954896,0
-97.253315,48.954738,0
-97.253482,48.954551,0
-97.253793,48.954452,0
-97.254083,48.954505,0
-97.254329,48.954674,0
-97.254571,48.954907,0
-97.254614,48.955206,0
-97.254721,48.955499,0
-97.254769,48.955801,0
-97.254855,48.956055,0
-97.255021,48.95621,0
-97.255311,48.956266,0
-97.255547,48.956196,0
-97.255697,48.956048,0
-97.255853,48.955925,0
-97.256024,48.955787,0
-97.256298,48.955682,0
-97.256598,48.955668,0
-97.257017,48.955724,0
-97.25736,48.955865,0
-97.257666,48.956006,0
-97.257972,48.956136,0
-97.258272,48.956224,0
-97.258696,48.956263,0
-97.259034,48.956291,0
-97.259436,48.956259,0
-97.259903,48.956207,0
