Lon,Lat,Depth
-97.104887,49.882133,0
-97.104861,49.882289,0
-97.104812,49.882368,0
-97.104705,49.882438,0
-97.104571,49.8825,0
-97.104442,49.882565,0
-97.104287,49.882628,0
-97.104169,49.88268,0
-97.104029,49.882742,0
-97.103895,49.882807,0
-97.103766,49.882863,0
-97.103643,49.882935,0
-97.103536,49.882998,0
-97.103407,49.883077,0
-97.103321,49.883153,0
-97.103305,49.883267,0
-97.103407,49.883364,0
-97.103525,49.883426,0
-97.103718,49.883454,0
-97.103895,49.883488,0
-97.104061,49.88353,0
-97.104233,49.883571,0
-97.104383,49.883651,0
-97.104485,49.883717,0
-97.104592,49.883793,0
-97.104753,49.883876,0
-97.104893,49.883934,0
-97.105005,49.883996,0
-97.105113,49.884093,0
-97.105225,49.884162,0
-97.105381,49.884221,0
-97.105536,49.884242,0
-97.105713,49.884218,0
-97.105853,49.884166,0
-97.105976,49.884114,0
-97.106051,49.884055,0
-97.106116,49.884017,0
-97.106207,49.883983,0
-97.106282,49.883945,0
-97.106411,49.883917,0
-97.106524,49.883914,0
-97.106604,49.883945,0
-97.10669,49.88401,0
-97.106743,49.884086,0
-97.106786,49.884176,0
-97.106802,49.884249,0
-97.106786,49.884335,0
-97.106776,49.884411,0
-97.106765,49.884484,0
-97.106727,49.884553,0
-97.106695,49.884622,0
-97.106642,49.884684,0
-97.10655,49.88476,0
-97.106454,49.884819,0
-97.106314,49.884881,0
-97.106223,49.884923,0
-97.106116,49.884961,0
-97.106009,49.885009,0
-97.105896,49.885058,0
-97.105789,49.885116,0
-97.105719,49.885182,0
-97.105681,49.885293,0
-97.105654,49.885372,0
-97.105638,49.885462,0
-97.105595,49.885531,0
-97.105531,49.88559,0
-97.105445,49.885656,0
-97.105376,49.885711,0
-97.105279,49.885759,0
-97.105204,49.885818,0
-97.105102,49.885884,0
-97.105021,49.885939,0
-97.104946,49.886029,0
-97.104898,49.886108,0
-97.104887,49.886198,0
-97.104893,49.886278,0
-97.104984,49.886343,0
-97.105091,49.886381,0
-97.105268,49.886392,0
-97.105445,49.886406,0
-97.105633,49.886413,0
-97.10581,49.886416,0
-97.105923,49.886413,0
-97.1061,49.886409,0
-97.106277,49.886402,0
-97.106432,49.886399,0
-97.106609,49.886385,0
-97.106765,49.886364,0
-97.106899,49.886371,0
-97.107076,49.886385,0
-97.107194,49.886409,0
-97.107275,49.886447,0
-97.107355,49.88652,0
-97.107398,49.886599,0
-97.107425,49.886672,0
-97.10743,49.886748,0
-97.107371,49.88682,0
-97.107296,49.886869,0
-97.107199,49.886924,0
-97.107135,49.886952,0
-97.107049,49.886986,0
-97.106953,49.887028,0
-97.106851,49.887066,0
-97.106733,49.887104,0
-97.106593,49.887128,0
-97.106448,49.887163,0
-97.106304,49.887197,0
-97.106196,49.887218,0
-97.106094,49.887245,0
-97.105982,49.887277,0
-97.105891,49.887311,0
-97.105789,49.887339,0
-97.105681,49.887377,0
-97.105612,49.887418,0
-97.105558,49.887477,0
-97.105553,49.887557,0
-97.10559,49.887629,0
-97.105665,49.887695,0
-97.105762,49.887719,0
-97.105907,49.887736,0
-97.106051,49.887747,0
-97.106212,49.88776,0
-97.106325,49.887774,0
-97.106454,49.887781,0
-97.106609,49.887809,0
-97.10676,49.887836,0
-97.106883,49.887878,0
-97.106985,49.887926,0
-97.107114,49.887971,0
-97.107216,49.888027,0
-97.107269,49.888103,0
-97.107312,49.888179,0
-97.10735,49.888262,0
-97.107414,49.888331,0
-97.107452,49.888431,0
-97.107441,49.888531,0
-97.107393,49.888611,0
-97.107312,49.888669,0
